"","x"
"1",0
"2",0
"3",11
"4",6
"5",0
"6",2
"7",2
"8",7
"9",3
"10",5
"11",4
"12",3
"13",8
"14",0
"15",7
"16",9
"17",0
"18",0
"19",2
"20",0
"21",2
"22",1
"23",0
"24",0
"25",1
"26",2
"27",2
"28",10
"29",0
"30",2
"31",4
"32",3
"33",2
"34",1
"35",4
"36",6
"37",5
"38",2
"39",3
"40",2
"41",6
"42",7
"43",2
"44",6
"45",1
"46",7
"47",5
"48",2
"49",4
"50",0
"51",0
"52",4
"53",1
"54",4
"55",1
"56",3
"57",7
"58",0
"59",3
"60",1
"61",1
"62",17
"63",4
"64",10
"65",1
"66",8
"67",6
"68",0
"69",1
"70",2
"71",3
"72",2
"73",0
"74",1
"75",2
"76",0
"77",3
"78",3
"79",3
"80",1
"81",12
"82",2
"83",4
"84",2
"85",13
"86",1
"87",5
"88",0
"89",0
"90",2
"91",11
"92",0
"93",2
"94",1
"95",5
"96",7
"97",0
"98",5
"99",1
"100",0
"101",8
"102",5
"103",2
"104",0
"105",1
"106",0
"107",3
"108",0
"109",0
"110",1
"111",1
"112",3
"113",7
"114",3
"115",2
"116",5
"117",0
"118",5
"119",1
"120",2
"121",0
"122",6
"123",0
"124",8
"125",0
"126",0
"127",5
"128",4
"129",6
"130",0
"131",4
"132",2
"133",2
"134",0
"135",8
"136",1
"137",12
"138",3
"139",6
"140",5
"141",4
"142",2
"143",0
"144",0
"145",9
"146",0
"147",2
"148",1
"149",11
"150",0
"151",7
"152",1
"153",3
"154",2
"155",6
"156",5
"157",8
"158",5
"159",2
"160",8
"161",3
"162",2
"163",2
"164",0
"165",4
"166",1
"167",2
"168",6
"169",0
"170",1
"171",0
"172",0
"173",5
"174",5
"175",6
"176",0
"177",1
"178",0
"179",7
"180",1
"181",4
"182",2
"183",0
"184",6
"185",4
"186",11
"187",4
"188",5
"189",0
"190",3
"191",11
"192",4
"193",5
"194",10
"195",7
"196",1
"197",0
"198",0
"199",0
"200",1
"201",2
"202",1
"203",1
"204",1
"205",8
"206",1
"207",6
"208",4
"209",2
"210",4
"211",0
"212",2
"213",0
"214",2
"215",4
"216",3
"217",1
"218",0
"219",1
"220",5
"221",13
"222",4
"223",1
"224",1
